split var,plot mode,support mode,y,ster
1,1,2,820,-0.07566851282196933,0.019660799571056202
1,1,2,825,-0.0367774862181586,0.020060745343897773
1,1,2,830,-0.05284258174565409,0.017613930692044564
1,1,2,835,-0.028540722732626617,0.01565551837610936
1,1,3,820,0.017634428816806352,0.006243489413485865
1,1,3,825,0.0007086520429778372,0.006434559095659303
1,1,3,830,0.003635369118528353,0.005433608168321842
1,1,3,835,0.004872187718489671,0.00783013309061292
2,1,2,3,-0.045152554034548695,0.017226917455410197
2,1,2,6,-0.04813089302206751,0.018010615960416556
2,1,2,9,-0.04104380372644505,0.020302223838912694
2,1,2,12,-0.05987007108870643,0.017820269113384926
2,1,3,3,0.008129179450377999,0.005479471148271612
2,1,3,6,0.00016489273323944814,0.00767098864912398
2,1,3,9,0.007502174553022288,0.006190423697604546
2,1,3,12,0.010986879339516073,0.0070039935497357335
6,1,2,60,-0.10355863886935188,0.02704055573342646
6,1,2,90,-0.060696367598360654,0.02552848576949071
6,1,2,108,-0.030193134976241834,0.023378525683245815
6,1,2,120,-0.06224504456885414,0.018034104219399057
6,1,2,135,-0.01590590664818374,0.014823701108539065
6,1,3,60,-0.006551003845876393,0.010522339043671908
6,1,3,90,0.01926656545638629,0.008610452322208261
6,1,3,108,-0.003909670253814758,0.00697520233994121
6,1,3,120,0.003393280949925602,0.006393866211571909
6,1,3,135,0.014710938403472859,0.006133038838411943
1,2,2,820,0.023243153300838815,0.016590329977026988
1,2,2,825,0.03858961792613769,0.013108507713597603
1,2,2,830,0.07073415256650756,0.013474045807606763
1,2,2,835,-0.03951858747009579,0.016581524083797542
1,2,3,820,0.08177476071576167,0.010957703605272835
1,2,3,825,0.07703088151157189,0.012333323720236964
1,2,3,830,0.10433661495642305,0.01027201962609414
1,2,3,835,0.06522601583710402,0.011778327658607163
2,2,2,3,0.006264680823680868,0.014205361107383472
2,2,2,6,0.015609722309319007,0.015088933275443184
2,2,2,9,0.031207546495082727,0.01618168498707056
2,2,2,12,0.03918113381312738,0.015276291764974716
2,2,3,3,0.05539664655246712,0.009351760450060916
2,2,3,6,0.05623052619047625,0.010147076471672772
2,2,3,9,0.10479190744274802,0.012339392143215966
2,2,3,12,0.112018845641351,0.012864210503004628
6,2,2,60,0.07691788539144473,0.032353023980539075
6,2,2,90,0.07871559642778869,0.022162022922069417
6,2,2,108,0.013253471900432856,0.019368221150518346
6,2,2,120,0.0244641252388752,0.014627295235721234
6,2,2,135,0.004605166664978566,0.011580441176167296
6,2,3,60,0.045936550348953165,0.024528288605306287
6,2,3,90,0.15292722288359817,0.016509454402505674
6,2,3,108,0.13704933930635838,0.014669944082995353
6,2,3,120,0.0691763714779372,0.01085876291729971
6,2,3,135,0.042052372014604766,0.00859493515491612
1,3,2,820,-0.046751935423484714,0.015572323406070544
1,3,2,825,-0.019010415118776214,0.01502872893934453
1,3,2,830,-0.028781265682169488,0.012773669449025304
