i,j,i title,j title,mode,tau,p,sign,sign+,significant
11,13,vx nozzle (mm/s),vx ahead (mm/s),3,0.0648,0.e-5,+,+,True
11,13,vx nozzle (mm/s),vx ahead (mm/s),2,0.1366,0.e-5,++,+,True
11,15,vx nozzle (mm/s),vx just behind (mm/s),3,0.0819,0.e-5,+,+,True
11,15,vx nozzle (mm/s),vx just behind (mm/s),2,-0.05,0.e-5,-,-,True
13,15,vx ahead (mm/s),vx just behind (mm/s),3,-0.0856,0.e-5,-,-,True
13,15,vx ahead (mm/s),vx just behind (mm/s),2,-0.0736,0.e-5,-,-,True
11,17,vx nozzle (mm/s),vx behind left (mm/s),3,0.0229,0.0163,+,+,True
11,17,vx nozzle (mm/s),vx behind left (mm/s),2,0.0078,0.4375,,,False
13,17,vx ahead (mm/s),vx behind left (mm/s),3,0.0869,0.e-5,+,+,True
13,17,vx ahead (mm/s),vx behind left (mm/s),2,0.0819,0.e-5,+,+,True
15,17,vx just behind (mm/s),vx behind left (mm/s),3,0.1088,0.e-5,++,+,True
15,17,vx just behind (mm/s),vx behind left (mm/s),2,0.0408,0.e-4,+,+,True
11,19,vx nozzle (mm/s),vx behind 0 (mm/s),3,0.0868,0.e-5,+,+,True
11,19,vx nozzle (mm/s),vx behind 0 (mm/s),2,-0.0105,0.293,,,False
13,19,vx ahead (mm/s),vx behind 0 (mm/s),3,0.0386,0.e-4,+,+,True
13,19,vx ahead (mm/s),vx behind 0 (mm/s),2,-0.0056,0.5607,,,False
15,19,vx just behind (mm/s),vx behind 0 (mm/s),3,0.2826,0.e-5,+++,+,True
15,19,vx just behind (mm/s),vx behind 0 (mm/s),2,0.3183,0.e-5,++++,+,True
17,19,vx behind left (mm/s),vx behind 0 (mm/s),3,0.0969,0.e-5,+,+,True
17,19,vx behind left (mm/s),vx behind 0 (mm/s),2,0.1612,0.e-5,++,+,True
11,21,vx nozzle (mm/s),vx behind 1 (mm/s),3,0.0603,0.e-5,+,+,True
11,21,vx nozzle (mm/s),vx behind 1 (mm/s),2,-0.0014,0.8859,,,False
13,21,vx ahead (mm/s),vx behind 1 (mm/s),3,-0.036,0.0001,-,-,True
13,21,vx ahead (mm/s),vx behind 1 (mm/s),2,-0.085,0.e-5,-,-,True
15,21,vx just behind (mm/s),vx behind 1 (mm/s),3,0.1695,0.e-5,++,+,True
15,21,vx just behind (mm/s),vx behind 1 (mm/s),2,0.2524,0.e-5,+++,+,True
17,21,vx behind left (mm/s),vx behind 1 (mm/s),3,-0.1223,0.e-5,--,-,True
17,21,vx behind left (mm/s),vx behind 1 (mm/s),2,0.0375,0.e-4,+,+,True
19,21,vx behind 0 (mm/s),vx behind 1 (mm/s),3,0.3418,0.e-5,++++,+,True
19,21,vx behind 0 (mm/s),vx behind 1 (mm/s),2,0.2313,0.e-5,+++,+,True
11,23,vx nozzle (mm/s),vx behind 2 (mm/s),3,0.0119,0.2296,,,False
11,23,vx nozzle (mm/s),vx behind 2 (mm/s),2,0.0364,0.0004,+,+,True
13,23,vx ahead (mm/s),vx behind 2 (mm/s),3,-0.0311,0.0016,-,-,True
13,23,vx ahead (mm/s),vx behind 2 (mm/s),2,-0.0215,0.0287,-,-,True
15,23,vx just behind (mm/s),vx behind 2 (mm/s),3,0.0629,0.e-5,+,+,True
15,23,vx just behind (mm/s),vx behind 2 (mm/s),2,0.1022,0.e-5,++,+,True
17,23,vx behind left (mm/s),vx behind 2 (mm/s),3,-0.151,0.e-5,--,-,True
17,23,vx behind left (mm/s),vx behind 2 (mm/s),2,0.0863,0.e-5,+,+,True
19,23,vx behind 0 (mm/s),vx behind 2 (mm/s),3,0.1548,0.e-5,++,+,True
19,23,vx behind 0 (mm/s),vx behind 2 (mm/s),2,0.1407,0.e-5,++,+,True
21,23,vx behind 1 (mm/s),vx behind 2 (mm/s),3,0.362,0.e-5,++++,+,True
21,23,vx behind 1 (mm/s),vx behind 2 (mm/s),2,0.2453,0.e-5,+++,+,True
11,25,vx nozzle (mm/s),vx left (mm/s),3,0.0588,0.e-5,+,+,True
11,25,vx nozzle (mm/s),vx left (mm/s),2,0.0287,0.0041,+,+,True
13,25,vx ahead (mm/s),vx left (mm/s),3,0.1083,0.e-5,++,+,True
13,25,vx ahead (mm/s),vx left (mm/s),2,0.1579,0.e-5,++,+,True
15,25,vx just behind (mm/s),vx left (mm/s),3,0.0926,0.e-5,+,+,True
15,25,vx just behind (mm/s),vx left (mm/s),2,0.139,0.e-5,++,+,True
17,25,vx behind left (mm/s),vx left (mm/s),3,0.1431,0.e-5,++,+,True
17,25,vx behind left (mm/s),vx left (mm/s),2,0.1433,0.e-5,++,+,True
19,25,vx behind 0 (mm/s),vx left (mm/s),3,0.152,0.e-5,++,+,True
19,25,vx behind 0 (mm/s),vx left (mm/s),2,0.0314,0.001,+,+,True
21,25,vx behind 1 (mm/s),vx left (mm/s),3,0.0868,0.e-5,+,+,True
21,25,vx behind 1 (mm/s),vx left (mm/s),2,0.0476,0.e-5,+,+,True
23,25,vx behind 2 (mm/s),vx left (mm/s),3,0.0559,0.e-5,+,+,True
23,25,vx behind 2 (mm/s),vx left (mm/s),2,0.0223,0.0229,+,+,True
11,27,vx nozzle (mm/s),vx right 1 (mm/s),3,0.1212,0.e-5,++,+,True
11,27,vx nozzle (mm/s),vx right 1 (mm/s),2,0.0806,0.e-5,+,+,True
13,27,vx ahead (mm/s),vx right 1 (mm/s),3,0.2436,0.e-5,+++,+,True
13,27,vx ahead (mm/s),vx right 1 (mm/s),2,0.1896,0.e-5,++,+,True
15,27,vx just behind (mm/s),vx right 1 (mm/s),3,0.1057,0.e-5,++,+,True
15,27,vx just behind (mm/s),vx right 1 (mm/s),2,0.1594,0.e-5,++,+,True
17,27,vx behind left (mm/s),vx right 1 (mm/s),3,0.0785,0.e-5,+,+,True
17,27,vx behind left (mm/s),vx right 1 (mm/s),2,0.0807,0.e-5,+,+,True
19,27,vx behind 0 (mm/s),vx right 1 (mm/s),3,0.1162,0.e-5,++,+,True
19,27,vx behind 0 (mm/s),vx right 1 (mm/s),2,0.12,0.e-5,++,+,True
21,27,vx behind 1 (mm/s),vx right 1 (mm/s),3,0.0541,0.e-5,+,+,True
21,27,vx behind 1 (mm/s),vx right 1 (mm/s),2,0.089,0.e-5,+,+,True
23,27,vx behind 2 (mm/s),vx right 1 (mm/s),3,0.0026,0.7914,,,False
23,27,vx behind 2 (mm/s),vx right 1 (mm/s),2,0.0621,0.e-5,+,+,True
25,27,vx left (mm/s),vx right 1 (mm/s),3,0.0377,0.e-4,+,+,True
25,27,vx left (mm/s),vx right 1 (mm/s),2,0.0293,0.0021,+,+,True
11,29,vx nozzle (mm/s),vx right 2 (mm/s),3,0.0202,0.0337,+,+,True
11,29,vx nozzle (mm/s),vx right 2 (mm/s),2,0.0943,0.e-5,+,+,True
13,29,vx ahead (mm/s),vx right 2 (mm/s),3,-0.0067,0.4792,,,False
13,29,vx ahead (mm/s),vx right 2 (mm/s),2,0.0946,0.e-5,+,+,True
15,29,vx just behind (mm/s),vx right 2 (mm/s),3,0.1079,0.e-5,++,+,True
15,29,vx just behind (mm/s),vx right 2 (mm/s),2,0.0089,0.3583,,,False
17,29,vx behind left (mm/s),vx right 2 (mm/s),3,-0.0778,0.e-5,-,-,True
17,29,vx behind left (mm/s),vx right 2 (mm/s),2,0.1051,0.e-5,++,+,True
19,29,vx behind 0 (mm/s),vx right 2 (mm/s),3,0.1011,0.e-5,++,+,True
19,29,vx behind 0 (mm/s),vx right 2 (mm/s),2,0.0763,0.e-5,+,+,True
