i,j,i title,j title,mode,tau,p,sign,sign+,significant
10,12,vx nozzle (mm/s),vx ahead (mm/s),3,0.0096,0.5581,,,False
10,12,vx nozzle (mm/s),vx ahead (mm/s),2,0.1482,0.e-5,++,+,True
10,14,vx nozzle (mm/s),vx just behind (mm/s),3,0.1292,0.e-5,++,+,True
10,14,vx nozzle (mm/s),vx just behind (mm/s),2,-0.0371,0.0248,-,-,True
12,14,vx ahead (mm/s),vx just behind (mm/s),3,-0.0576,0.0004,-,-,True
12,14,vx ahead (mm/s),vx just behind (mm/s),2,-0.012,0.4625,,,False
10,16,vx nozzle (mm/s),vx behind left (mm/s),3,0.0055,0.7385,,,False
10,16,vx nozzle (mm/s),vx behind left (mm/s),2,-0.0241,0.1438,,,False
12,16,vx ahead (mm/s),vx behind left (mm/s),3,0.0423,0.0098,+,+,True
12,16,vx ahead (mm/s),vx behind left (mm/s),2,0.1014,0.e-5,++,+,True
14,16,vx just behind (mm/s),vx behind left (mm/s),3,0.1808,0.e-5,++,+,True
14,16,vx just behind (mm/s),vx behind left (mm/s),2,0.1068,0.e-5,++,+,True
10,18,vx nozzle (mm/s),vx behind 0 (mm/s),3,0.0971,0.e-5,+,+,True
10,18,vx nozzle (mm/s),vx behind 0 (mm/s),2,0.0046,0.7795,,,False
12,18,vx ahead (mm/s),vx behind 0 (mm/s),3,0.0332,0.0429,+,+,True
12,18,vx ahead (mm/s),vx behind 0 (mm/s),2,0.0199,0.224,,,False
14,18,vx just behind (mm/s),vx behind 0 (mm/s),3,0.3418,0.e-5,++++,+,True
14,18,vx just behind (mm/s),vx behind 0 (mm/s),2,0.322,0.e-5,++++,+,True
16,18,vx behind left (mm/s),vx behind 0 (mm/s),3,0.0528,0.0013,+,+,True
16,18,vx behind left (mm/s),vx behind 0 (mm/s),2,0.218,0.e-5,+++,+,True
10,20,vx nozzle (mm/s),vx behind 1 (mm/s),3,0.0856,0.e-5,+,+,True
10,20,vx nozzle (mm/s),vx behind 1 (mm/s),2,0.0063,0.7044,,,False
12,20,vx ahead (mm/s),vx behind 1 (mm/s),3,-0.0518,0.0016,-,-,True
12,20,vx ahead (mm/s),vx behind 1 (mm/s),2,-0.0898,0.e-5,-,-,True
14,20,vx just behind (mm/s),vx behind 1 (mm/s),3,0.1756,0.e-5,++,+,True
14,20,vx just behind (mm/s),vx behind 1 (mm/s),2,0.2483,0.e-5,+++,+,True
16,20,vx behind left (mm/s),vx behind 1 (mm/s),3,-0.1935,0.e-5,--,-,True
16,20,vx behind left (mm/s),vx behind 1 (mm/s),2,0.0892,0.e-5,+,+,True
18,20,vx behind 0 (mm/s),vx behind 1 (mm/s),3,0.4218,0.e-5,+++++,+,True
18,20,vx behind 0 (mm/s),vx behind 1 (mm/s),2,0.2815,0.e-5,+++,+,True
10,22,vx nozzle (mm/s),vx behind 2 (mm/s),3,0.0244,0.1369,,,False
10,22,vx nozzle (mm/s),vx behind 2 (mm/s),2,0.0539,0.0011,+,+,True
12,22,vx ahead (mm/s),vx behind 2 (mm/s),3,-0.0756,0.e-5,-,-,True
12,22,vx ahead (mm/s),vx behind 2 (mm/s),2,-0.0216,0.1879,,,False
14,22,vx just behind (mm/s),vx behind 2 (mm/s),3,0.049,0.0028,+,+,True
14,22,vx just behind (mm/s),vx behind 2 (mm/s),2,0.0916,0.e-5,+,+,True
16,22,vx behind left (mm/s),vx behind 2 (mm/s),3,-0.2248,0.e-5,---,-,True
16,22,vx behind left (mm/s),vx behind 2 (mm/s),2,0.1199,0.e-5,++,+,True
18,22,vx behind 0 (mm/s),vx behind 2 (mm/s),3,0.2131,0.e-5,+++,+,True
18,22,vx behind 0 (mm/s),vx behind 2 (mm/s),2,0.1923,0.e-5,++,+,True
20,22,vx behind 1 (mm/s),vx behind 2 (mm/s),3,0.4532,0.e-5,+++++,+,True
20,22,vx behind 1 (mm/s),vx behind 2 (mm/s),2,0.2945,0.e-5,+++,+,True
10,24,vx nozzle (mm/s),vx left (mm/s),3,0.0644,0.e-4,+,+,True
10,24,vx nozzle (mm/s),vx left (mm/s),2,0.0172,0.2982,,,False
12,24,vx ahead (mm/s),vx left (mm/s),3,0.104,0.e-5,++,+,True
12,24,vx ahead (mm/s),vx left (mm/s),2,0.1928,0.e-5,++,+,True
14,24,vx just behind (mm/s),vx left (mm/s),3,0.109,0.e-5,++,+,True
14,24,vx just behind (mm/s),vx left (mm/s),2,0.1726,0.e-5,++,+,True
16,24,vx behind left (mm/s),vx left (mm/s),3,0.0973,0.e-5,+,+,True
16,24,vx behind left (mm/s),vx left (mm/s),2,0.2282,0.e-5,+++,+,True
18,24,vx behind 0 (mm/s),vx left (mm/s),3,0.1711,0.e-5,++,+,True
18,24,vx behind 0 (mm/s),vx left (mm/s),2,0.0433,0.0081,+,+,True
20,24,vx behind 1 (mm/s),vx left (mm/s),3,0.0965,0.e-5,+,+,True
20,24,vx behind 1 (mm/s),vx left (mm/s),2,0.0336,0.0404,+,+,True
22,24,vx behind 2 (mm/s),vx left (mm/s),3,0.0826,0.e-5,+,+,True
22,24,vx behind 2 (mm/s),vx left (mm/s),2,0.0136,0.4059,,,False
10,26,vx nozzle (mm/s),vx right 1 (mm/s),3,0.1415,0.e-5,++,+,True
10,26,vx nozzle (mm/s),vx right 1 (mm/s),2,0.1147,0.e-5,++,+,True
12,26,vx ahead (mm/s),vx right 1 (mm/s),3,0.1491,0.e-5,++,+,True
12,26,vx ahead (mm/s),vx right 1 (mm/s),2,0.19,0.e-5,++,+,True
14,26,vx just behind (mm/s),vx right 1 (mm/s),3,0.2138,0.e-5,+++,+,True
14,26,vx just behind (mm/s),vx right 1 (mm/s),2,0.2647,0.e-5,+++,+,True
16,26,vx behind left (mm/s),vx right 1 (mm/s),3,0.0196,0.2325,,,False
16,26,vx behind left (mm/s),vx right 1 (mm/s),2,0.0854,0.e-5,+,+,True
18,26,vx behind 0 (mm/s),vx right 1 (mm/s),3,0.1531,0.e-5,++,+,True
18,26,vx behind 0 (mm/s),vx right 1 (mm/s),2,0.2109,0.e-5,+++,+,True
20,26,vx behind 1 (mm/s),vx right 1 (mm/s),3,0.061,0.0002,+,+,True
20,26,vx behind 1 (mm/s),vx right 1 (mm/s),2,0.132,0.e-5,++,+,True
22,26,vx behind 2 (mm/s),vx right 1 (mm/s),3,-0.0178,0.2782,,,False
22,26,vx behind 2 (mm/s),vx right 1 (mm/s),2,0.0882,0.e-5,+,+,True
24,26,vx left (mm/s),vx right 1 (mm/s),3,0.0339,0.0387,+,+,True
24,26,vx left (mm/s),vx right 1 (mm/s),2,0.0441,0.007,+,+,True
10,28,vx nozzle (mm/s),vx right 2 (mm/s),3,0.0483,0.0032,+,+,True
10,28,vx nozzle (mm/s),vx right 2 (mm/s),2,0.1052,0.e-5,++,+,True
12,28,vx ahead (mm/s),vx right 2 (mm/s),3,-0.0059,0.7197,,,False
12,28,vx ahead (mm/s),vx right 2 (mm/s),2,0.0773,0.e-5,+,+,True
14,28,vx just behind (mm/s),vx right 2 (mm/s),3,0.1254,0.e-5,++,+,True
14,28,vx just behind (mm/s),vx right 2 (mm/s),2,0.1153,0.e-5,++,+,True
16,28,vx behind left (mm/s),vx right 2 (mm/s),3,-0.0994,0.e-5,-,-,True
16,28,vx behind left (mm/s),vx right 2 (mm/s),2,0.0892,0.e-5,+,+,True
18,28,vx behind 0 (mm/s),vx right 2 (mm/s),3,0.1724,0.e-5,++,+,True
